"item","family","group","qnty.sold","revenue","date"
"LIP GREN GUNPWDR 15 PYRAMID TB","CS Tea","FOOD","1",14.5,"2015-10-03"
"Spghetti Barila500G","CS Pasta & Noodles","FOOD","2",14.5,"2015-10-03"
"REXONA DEO EXTRA COOL 150ML","CS Deodrants","NON FOOD","1",14.25,"2015-10-03"
"UP CAN 355 ML","CS Soft Drinks","BEVERAGE","7",14,"2015-10-03"
"ALO ENRICH POMEGRANATE JUICE","Fresh Juices","FOOD","1",14,"2015-10-03"
"ALO EXPOSED ALO JUICE","Fresh Juices","FOOD","1",14,"2015-10-03"
"COKE CAN 300ML","CS Soft Drinks","BEVERAGE","7",14,"2015-10-03"
"COKE LIGHT CAN 300ML","CS Soft Drinks","BEVERAGE","7",14,"2015-10-03"
"CROISSANT HI BUTTER PLAIN","CS Bakery","FOOD","4",14,"2015-10-03"
"FUNCLRPLSTCTUMBLR8","CS Disposable","NON FOOD","2",14,"2015-10-03"
"JIF CREAM LEMON 250ML","CS Dishwashing","NON FOOD","2",14,"2015-10-03"
"JOHN WEST LIGHT TUNA CHUNK OIL 1","CS Can & Jar Food","FOOD","2",14,"2015-10-03"
"LADY CHOICE CREAMY PEANUT BUTTER","CS Can & Jar Food","FOOD","1",14,"2015-10-03"
"Mille Feuille","Dessert","FOOD","1",14,"2015-10-03"
"MUFFIN BLUEBERRY","CS Bakery","FOOD","4",14,"2015-10-03"
"BERRY CO CRANBERRY 1L","CS Packet Juice","BEVERAGE","1",13.5,"2015-10-03"
"BERRY CO GOJI BERRY JUICE 1L","CS Packet Juice","BEVERAGE","1",13.5,"2015-10-03"
"BAYARA WHITE PEPPER GROUND 100ML","CS Spices & Herbs","FOOD","2",13,"2015-10-03"
"BISQUINI TIN CHOCOLATE COOKIES 1","Biscuit & Cookies","FOOD","1",13,"2015-10-03"
"CLEAR SH WOMEN INTENSE HYDRATION","CS Shampoo & Conditioner","NON FOOD","1",13,"2015-10-03"
"COKE LARGE 2.25L","CS Soft Drinks","BEVERAGE","2",13,"2015-10-03"
"CORNETTO I/C LOVE VANILLA RASPBE","CS Ice Cream","FOOD","2",13,"2015-10-03"
"INDOMIE CUP CHICKEN","CS Pasta & Noodles","FOOD","4",13,"2015-10-03"
"JOHNSONS BODY WASH PAPAYA 250ML","CS Bath & Shower","NON FOOD","1",13,"2015-10-03"
"JOHNSONS BODY WASH RASPBERRY 250","CS Bath & Shower","NON FOOD","1",13,"2015-10-03"
"LAYS CHILI 185GM","CS Chips & Snacks","FOOD","2",13,"2015-10-03"
"A/G Hamburger Dil Flavored (Chip","CS Can & Jar Food","FOOD","1",12.75,"2015-10-03"
"DR OETKER CELEBRATION CANDLE","CS Disposable","NON FOOD","1",12.75,"2015-10-03"
"BAHLSEN CH BTRSWT12g","Biscuit & Cookies","FOOD","1",12.5,"2015-10-03"
"CAREFREE FLEXIFORM 18PCS","CS Sanitary Care","NON FOOD","1",12.5,"2015-10-03"
"EXTRA BIG BOTTLE STRAWBERRY","CS Mint & Gum","FOOD","1",12.5,"2015-10-03"
"JOHNSONS BABY 2 IN 1 200ML","CS Baby Care","NON FOOD","1",12.5,"2015-10-03"
"PURELL REFRESHING HAND SANITIZER","CS Soap & Handwash","NON FOOD","1",12.25,"2015-10-03"
"ADD CARAMEL DRIZZLE","Starbucks","FOOD","3",12,"2015-10-03"
"LITER","Water","BEVERAGE","6",12,"2015-10-03"
"BEACON MARSHMALLOWS WHITE 150GM","CS Packet Food","FOOD","3",12,"2015-10-03"
"BORDON CORNED BEEF340g","CS Can & Jar Food","FOOD","1",12,"2015-10-03"
"CROISSANT CHEESE","CS Bakery","FOOD","6",12,"2015-10-03"
"DOVE SH NUTRITIVE DAILY CARE 200","CS Shampoo & Conditioner","NON FOOD","1",12,"2015-10-03"
"FUN APRONS KIDS PRINTED 25PCS","CS Disposable","NON FOOD","1",12,"2015-10-03"
"GATORADE BLUE BOLT","Energy Drinks","BEVERAGE","1",12,"2015-10-03"
"JOHNSONS SHOWER GEL IMAGINE 250M","CS Bath & Shower","NON FOOD","1",12,"2015-10-03"
"JOHNSONS SHOWER GEL INDULGE 250M","CS Bath & Shower","NON FOOD","1",12,"2015-10-03"
"LIPTON CHAI LATTE CRML 25.8G","CS Tea","FOOD","1",12,"2015-10-03"
"LUX BW SOFT TOUCH 250ML","CS Body Care","NON FOOD","1",12,"2015-10-03"
"NIVEA HAND WASH CRÃˆME SOFT 250ML","CS Soap & Handwash","NON FOOD","1",12,"2015-10-03"
"Short Bread","Dessert","FOOD","1",12,"2015-10-03"
"SMINT CANDY GUM PEPPERMINT 14.2G","CS Mint & Gum","FOOD","3",12,"2015-10-03"
"SUPER FOOD SALAD","Veggie","FOOD","1",12,"2015-10-03"
"CLOROX COLORS 1.89L 1/2 GALLON","CS Laundry Care","NON FOOD","1",11.5,"2015-10-03"
"CLOROX ORIGINAL 1.89L 1/2 GALLON","CS Laundry Care","NON FOOD","1",11.5,"2015-10-03"
"DOLMIO BOLOGNESE CHUNKY MUSHROOM","CS Sauce","FOOD","1",11.5,"2015-10-03"
"BAHLSEN LEIBNIZ MINIS BUTTER 100","Biscuit & Cookies","FOOD","2",11,"2015-10-03"
"CAPRISUN MIXED FRUIT","CS Packet Juice","BEVERAGE","11",11,"2015-10-03"
"GROWERS PACKET ORIENTAL PEANUTS","CS Nuts & Seeds","FOOD","2",11,"2015-10-03"
"MODERN BAKE CRANBERRY ENERGY BAR","CS Cereal","FOOD","2",11,"2015-10-03"
"ORAL B FLOSS WAXED","CS Oral Care","NON FOOD","1",11,"2015-10-03"
"PANTENE SH ANTI DANDRUFF 200ML","CS Shampoo & Conditioner","NON FOOD","1",11,"2015-10-03"
"SNAPPLE FRUIT PUNCH JUICE","CS Packet Juice","BEVERAGE","2",11,"2015-10-03"
"BAYARA NUTMEG POWDER BOTTLE 100M","CS Spices & Herbs","FOOD","1",10.5,"2015-10-03"
"MUFFIN CHOCOLATE","CS Bakery","FOOD","3",10.5,"2015-10-03"
"W.FOODS THAI RED CURRY SAUCE 340","CS Sauce","FOOD","1",10.5,"2015-10-03"
"WALKERS SB HIGHLANDERS 40G","Biscuit & Cookies","FOOD","3",10.5,"2015-10-03"
"GILLETTE ROLLON SPORT TRIUMPH","CS Mens Care","NON FOOD","1",10.25,"2015-10-03"
"AL MARAI APPLE JUICE 300ML","CS Packet Juice","BEVERAGE","4",10,"2015-10-03"
"AL RABIE PINEAPPLE 330ML","CS Packet Juice","BEVERAGE","4",10,"2015-10-03"
"CALIFORNIA GARDENGrapeLeavs900g","CS Can & Jar Food","FOOD","1",10,"2015-10-03"
"CERES CRANBERRY KIWI JUICE 1L","CS Packet Juice","BEVERAGE","1",10,"2015-10-03"
"DARJEELING LOOSE TEA","Tea","FOOD","1",10,"2015-10-03"
"ESPRESSO MACCHIATO SINGLE","Starbucks","FOOD","1",10,"2015-10-03"
"LABELLO SUN PROTECTION SPF 30 4.","CS Facial Care","NON FOOD","1",10,"2015-10-03"
"MentoGmBerryLime","CS Mint & Gum","FOOD","2",10,"2015-10-03"
"MENTOS 38GM CHEWY FRUIT","CS Mint & Gum","FOOD","5",10,"2015-10-03"
"MENTOS CHEWY STRAWBERRY 30GM","CS Mint & Gum","FOOD","5",10,"2015-10-03"
"MIXED NUT & CEREAL 8 OZ","Peannuts","FOOD","1",10,"2015-10-03"
"NESCAFE SACHET RED MUG 1 PCS","CS Coffee","FOOD","8",10,"2015-10-03"
"ORAL B BRUSH NATURAL FRESH","CS Oral Care","NON FOOD","1",10,"2015-10-03"
"PEAR DRAGON LOOSE TEA","Tea","FOOD","1",10,"2015-10-03"
"PEPPERMEIN LOOSE TEA","Tea","FOOD","1",10,"2015-10-03"
"SCHWEPPES GINGER ALE 300M","CS Soft Drinks","BEVERAGE","5",10,"2015-10-03"
"GILLETTE FOAM LEMON","CS Mens Care","NON FOOD","1",9.5,"2015-10-03"
"GILLETTE FOAM REGULAR","CS Mens Care","NON FOOD","1",9.5,"2015-10-03"
"WINDOW CLEANER SPRAY 500ML","CS Cleaning Supplies","NON FOOD","1",9.5,"2015-10-03"
"KNORR SQUEEZY MAYONNAISE 295ML","CS Sauce","FOOD","1",9.5,"2015-10-03"
"SUNLIGHT LEMON 750ML","CS Dishwashing","NON FOOD","1",9.5,"2015-10-03"
"CERES SECRET OF VALLEY JUICE 1L","CS Packet Juice","BEVERAGE","1",9.25,"2015-10-03"
"GLAD GARBAGE BAG SMALL 20L X 30","CS Bags/Foil/Wraps","NON FOOD","1",9.25,"2015-10-03"
"RABIE ORANGE PEACH 330ML","Fresh Juices","BEVERAGE","3",9,"2015-10-03"
"ALWAYS LARGE 10 PCS","CS Sanitary Care","NON FOOD","2",9,"2015-10-03"
"BAHLSEN LEIBNIZ","Biscuit & Cookies","FOOD","2",9,"2015-10-03"
"30GM SALTED PISTACHIO","CS Nuts & Seeds","FOOD","3",9,"2015-10-03"
"CERES PEAR JUICE 1L","CS Packet Juice","BEVERAGE","1",9,"2015-10-03"
"CERES PINE APPLE JUICE 1L","CS Packet Juice","BEVERAGE","1",9,"2015-10-03"
"Extra Cheese","Cheese","FOOD","3",9,"2015-10-03"
"FUNWDTOOTHPICK","CS Disposable","NON FOOD","2",9,"2015-10-03"
"GLADZprSandwichBg","CS Bags/Foil/Wraps","NON FOOD","1",9,"2015-10-03"
"HANSAPLAST TRANSPARENT 20 STRIPS","CS Others","NON FOOD","1",9,"2015-10-03"
"KNORR PACKET GOURMET WILD MUSHRO","CS Packet Food","FOOD","2",9,"2015-10-03"
"LACNOR MILK STRAWBERRY 180ML","CS Packet Juice","BEVERAGE","6",9,"2015-10-03"
"LACNOR PEACH 180ML","CS Packet Juice","BEVERAGE","6",9,"2015-10-03"
"LIFEBUOYLEMONFRESHSOAP125G","CS Soap & Handwash","NON FOOD","2",9,"2015-10-03"
"NATURE VALLEY CANADIAN MAPLE SYR","CS Cereal","FOOD","3",9,"2015-10-03"
"NATURE VALLEY ROASTED ALMOND","CS Cereal","FOOD","3",9,"2015-10-03"
"SPRITE PET 500ML","CS Soft Drinks","BEVERAGE","3",9,"2015-10-03"
"WORCESTERSHIRE SAUCE BOTTLE","CS Sauce","FOOD","1",9,"2015-10-03"
"CLOSEUP FIRE FREEZE INTENSE 100M","CS Oral Care","NON FOOD","1",8.75,"2015-10-03"
"KOKA PILLOW 5 PCS MUSHROOM","CS Pasta & Noodles","FOOD","1",8.75,"2015-10-03"
"KOKA PILLOW 5 PCS VEGETABLE","CS Pasta & Noodles","FOOD","1",8.75,"2015-10-03"
"ADD FLAVOURED SYRUP","Starbucks","FOOD","2",8,"2015-10-03"
"ALPEN BAR FRUIT NUT MILK CHOCOLA","CS Cereal","FOOD","2",8,"2015-10-03"
"Chkn Fried Rice","Main course","FOOD","1",8,"2015-10-03"
"FAIRY LEMON 500ML","CS Dishwashing","NON FOOD","1",8,"2015-10-03"
"FUNHDCTLROLIVE18","CS Disposable","NON FOOD","1",8,"2015-10-03"
"HIBISCUS ICED TEA","Tea","FOOD","1",8,"2015-10-03"
"JASMINE ICED TEA","Tea","FOOD","1",8,"2015-10-03"
"KNORR CAS CREAM OF VEG20g","CS Packet Food","FOOD","1",8,"2015-10-03"
"LACNOR GUVAVA 180ML","Fresh Juices","BEVERAGE","2",8,"2015-10-03"
"Lacnor Skim Milk 1 L","CS Dairy","BEVERAGE","2",8,"2015-10-03"
"LAYS 40GM FRENCH CHEESE","CS Chips & Snacks","FOOD","4",8,"2015-10-03"
"LAYS 40GM SALT","CS Chips & Snacks","FOOD","4",8,"2015-10-03"
"LAYS KETCHUP 40G","CHIPS","FOOD","2",8,"2015-10-03"
"BAG MOROCCAN","Tea","FOOD","1",8,"2015-10-03"
"Fried Rice","Main course","FOOD","1",8,"2015-10-03"
"ALWAYS NIGHT WINGS 8 PCS","CS Sanitary Care","NON FOOD","1",7.75,"2015-10-03"
"RABIE ORANGE 330ML","CS Packet Juice","BEVERAGE","3",7.5,"2015-10-03"
"AlwaysUltraFreshExLong7","CS Sanitary Care","NON FOOD","1",7.5,"2015-10-03"
"AmricanGrdenSlicedMshroom425g","CS Packet Food","FOOD","1",7.5,"2015-10-03"
"BAYARA EXTRA NUTS 50GM","CS Nuts & Seeds","FOOD","3",7.5,"2015-10-03"
"DAILY FRESH MUSTARD OIL 475ML","CS Coocking & Baking","FOOD","1",7.25,"2015-10-03"
"MENTOS BOTTLE PURE WINTER GREEN","CS Mint & Gum","FOOD","1",7.25,"2015-10-03"
"MENTOS BOTTLE WHITE TUTTI FRUTTI","CS Mint & Gum","FOOD","1",7.25,"2015-10-03"
"TPasteCloseupMENTHOL120ml","CS Oral Care","NON FOOD","1",7.25,"2015-10-03"
"Add Mini PastryCombo","Dessert","FOOD","7",7,"2015-10-03"
"BREAD PLAIN 4 6 PCS","CS Bakery","FOOD","2",7,"2015-10-03"
"MUFFIN DOUBLE CHOCOLATE","CS Bakery","FOOD","2",7,"2015-10-03"
"ORAL B BRUSH CLASSIC","CS Oral Care","NON FOOD","2",7,"2015-10-03"
"A/G Leaf Spinach Tin 425g","CS Can & Jar Food","FOOD","1",6.5,"2015-10-03"
"CITYPACK PAPER CUP 8OZ 50PCS","CS Disposable","NON FOOD","1",6.5,"2015-10-03"
"CORNETTO I/C LOVE TOFFEE","CS Ice Cream","FOOD","1",6.5,"2015-10-03"
"DAILY FRESH HOMMOS TAHINEH 400GM","CS Can & Jar Food","FOOD","2",6.5,"2015-10-03"
"FALCON PAPER PLATES 7 100PCS","CS Disposable","NON FOOD","1",6.5,"2015-10-03"
"FUN24OZMLTI","CS Disposable","NON FOOD","1",6.5,"2015-10-03"
"LAYS TOMATO KETCHUP 185GM","CS Chips & Snacks","FOOD","1",6.5,"2015-10-03"
"PELLEGRINO WATER 500ML","CS Water","BEVERAGE","1",6.5,"2015-10-03"
"SPRITE LARGE 2.25L","CS Soft Drinks","BEVERAGE","1",6.5,"2015-10-03"
"CREST TP FRESH MINT 125ML","CS Oral Care","NON FOOD","1",6.25,"2015-10-03"
"Apple Crunch","Cereal Bar","FOOD","2",6,"2015-10-03"
"COCA COLA PET 500ML","Softdrinks","BEVERAGE","1",6,"2015-10-03"
"DOUGHNUT JAM","CS Bakery","FOOD","4",6,"2015-10-03"
"FANTA STRAWBERRY 355M","CS Soft Drinks","BEVERAGE","3",6,"2015-10-03"
"GLASS OF SOYA MILK","Soya Milk","FOOD","1",6,"2015-10-03"
"ENG BREAKFAST 25TB","CS Tea","FOOD","1",6,"2015-10-03"
"MENTOS 38GM CHEWY MINT","CS Mint & Gum","FOOD","3",6,"2015-10-03"
"POCARI SWEAT CAN 330ML","CS Soft Drinks","BEVERAGE","2",6,"2015-10-03"
"SCHWEPPES TONIC WATER CAN 300M","CS Soft Drinks","BEVERAGE","3",6,"2015-10-03"
"SPRITE PET 500ML","Softdrinks","BEVERAGE","1",6,"2015-10-03"
"KIWI TIN BLACK","CS Others","NON FOOD","1",5.5,"2015-10-03"
"CLOROX SUPER WIPES 3PCS","CS Tissue & Toilet Rolls","NON FOOD","1",5.25,"2015-10-03"
"SUPER GLUE 3G","CS Others","NON FOOD","3",5.25,"2015-10-03"
"RABIE MANGO PASSION 330ML","CS Fresh Juice","BEVERAGE","2",5,"2015-10-03"
"Castania Fried Peanut 60g","CS Nuts & Seeds","FOOD","1",5,"2015-10-03"
"Castania Peanut 60g","CS Nuts & Seeds","FOOD","1",5,"2015-10-03"
"CROISSANT ZATAR","CS Bakery","FOOD","2",5,"2015-10-03"
"Kitchen Towel","CS Cleaning Supplies","NON FOOD","1",5,"2015-10-03"
"KNOR FRENCH ONION SOUP60G","CS Packet Food","FOOD","1",5,"2015-10-03"
"MentoFruitLime","CS Mint & Gum","FOOD","1",5,"2015-10-03"
"MentoGmWatrMelon","CS Mint & Gum","FOOD","1",5,"2015-10-03"
"MENTOS ICE SPEARMINT 10G","CS Mint & Gum","FOOD","4",5,"2015-10-03"
"PERRIER WATER LEMON 330ML","CS Water","BEVERAGE","1",5,"2015-10-03"
"VOLVIC WATER 500ML","Water","BEVERAGE","1",5,"2015-10-03"
"AmricanGardenCarrot411g","CS Packet Food","FOOD","1",4.5,"2015-10-03"
"BAYARA PARSLEY BOTTLE 100ML","CS Spices & Herbs","FOOD","1",4.5,"2015-10-03"
"BEST 30GM SALTED PEANUTS","CS Nuts & Seeds","FOOD","3",4.5,"2015-10-03"
"VOLVIC WATER 500ML","CS Water","BEVERAGE","1",4.5,"2015-10-03"
"A/G White Vinegar 16oz","CS Can & Jar Food","FOOD","1",4.25,"2015-10-03"
"BROOKBOND TEA BAG 25 PCS","CS Tea","FOOD","1",4.25,"2015-10-03"
"HEINZ TOMATO KETCHUP BOTTLE 300G","CS Sauce","FOOD","1",4.25,"2015-10-03"
"ADD FLAVOURED SYRUP","Starbucks","FOOD","1",4,"2015-10-03"
"Deep Pan","Pizza","FOOD","1",4,"2015-10-03"
"WOODEN FORK 25PCS","CS Disposable","NON FOOD","1",4,"2015-10-03"
"WOODEN SPOON 25PCS","CS Disposable","NON FOOD","1",4,"2015-10-03"
"KNORR PACKET LENTIL SOUP","CS Packet Food","FOOD","1",4,"2015-10-03"
"LAYS 40GM SALT VINEGAR","CS Chips & Snacks","FOOD","2",4,"2015-10-03"
"LAYS CHEESE & ONION 40G","CHIPS","FOOD","1",4,"2015-10-03"
"LAYS SALT & VINEGAR 40G","CHIPS","FOOD","1",4,"2015-10-03"
"LAYS SALT 40G","CHIPS","FOOD","1",4,"2015-10-03"
"Mirinda Orange355M","Softdrinks","FOOD","2",4,"2015-10-03"
"MOUNTAIN DEW","Softdrinks","BEVERAGE","1",4,"2015-10-03"
"SODA CAN","Water","BEVERAGE","2",4,"2015-10-03"
"BAYARA BURGHOL FINE WHITE 400GM","CS Coocking & Baking","FOOD","1",3.5,"2015-10-03"
"BUN BREAD SEEDED 4 6 PCS","CS Bakery","FOOD","1",3.5,"2015-10-03"
"LUX BAR DREAM DELIGHT 120GM","CS Soap & Handwash","NON FOOD","1",3.5,"2015-10-03"
"SAFETY MATCH STICK BOX","CS Non Food","NON FOOD","2",3.5,"2015-10-03"
"BEST 30GM SALTED CASHEWS","CS Nuts & Seeds","FOOD","1",3,"2015-10-03"
"CAPRISUN MANGO","CS Packet Juice","BEVERAGE","3",3,"2015-10-03"
"PARADISE CORN FLOUR 400G","CS Coocking & Baking","FOOD","1",2.75,"2015-10-03"
"R.F.Cocktail","CS Packet Juice","BEVERAGE","1",2.5,"2015-10-03"
"SAFETY MATCH STICK BOX 2PCS","CS Others","NON FOOD","5",2.5,"2015-10-03"
"Lacnor100%RedOrange200m","CS Packet Juice","BEVERAGE","1",2.25,"2015-10-03"
"ADD SOYA MILK","Starbucks","FOOD","1",2,"2015-10-03"
"CAPRISUN APPLE","CS Packet Juice","BEVERAGE","2",2,"2015-10-03"
"LAYS 40GM CHILLI","CS Chips & Snacks","FOOD","1",2,"2015-10-03"
"LifeBuoySoap80g","CS Soap & Handwash","NON FOOD","1",2,"2015-10-03"
"SCHWEPPES BITTER LEMON 300M","CS Soft Drinks","BEVERAGE","1",2,"2015-10-03"
"TEA","Tea","FOOD","1",2,"2015-10-03"
"TIDE 110GM ORIGINAL SCENT","CS Laundry Care","NON FOOD","1",2,"2015-10-03"
"GLOBAL STREET MAIN","Main course","FOOD","125",3198,"2015-10-04"
"Buffet Meal","Main course","FOOD","132",2882,"2015-10-04"
"Student Breakfast","Breakfast","FOOD","96",2880,"2015-10-04"
"Chicken Steak","Grill","FOOD","90",2136,"2015-10-04"
"Slice of the Day","Pizza","FOOD","298",1490,"2015-10-04"
"SERCO LUNCH","SERCO LUNCH","FOOD","85",1275,"2015-10-04"
"MEAT PLATTER","Main course","FOOD","38",1140,"2015-10-04"
"FG LARGE BOWL","FEEL GOOD","FOOD","43",1118,"2015-10-04"
"Guest Meal Combo","Main course","FOOD","34",1085,"2015-10-04"
"FG MEDIUM BOWL","FEEL GOOD","FOOD","57",1026,"2015-10-04"
"Classic Angus Burger","Burgers","FOOD","34",1020,"2015-10-04"
"SERCO DINNER","SERCO DINNER","FOOD","64",960,"2015-10-04"
"Tenderloin Steak","Burgers","FOOD","30",900,"2015-10-04"
"Smoked Salmon","Sandwiches","FOOD","34",850,"2015-10-04"
"Massaman Chicken","Main course","FOOD","32",768,"2015-10-04"
"Take Away Box","Take Away Boxes","NON FOOD","247",741,"2015-10-04"
"CHICKEN CEASAR SALAD","Salads","FOOD","22",704,"2015-10-04"
"Falafel Tomato & Hummus(V)","Sandwiches","FOOD","39",702,"2015-10-04"
"Five a Day","Fresh Juices","BEVERAGE","27",648,"2015-10-04"
"Margherita(V)","Pizza","FOOD","25",625,"2015-10-04"
"SMOKED TURKEY S/W","Sandwiches","FOOD","18",612,"2015-10-04"
"SWEET CHILLI SALMON SALAD","Sandwiches","FOOD","16",608,"2015-10-04"
"Chicken Tikka","Sandwiches","FOOD","25",600,"2015-10-04"
"STIR FRY CHICKEN","Main course","FOOD","20",580,"2015-10-04"
"Chicken Caesar","Salads","FOOD","23",575,"2015-10-04"
"OZ DOUBLE SHOT ICED SHAKEN","Starbucks","FOOD","40",560,"2015-10-04"
"Fresh Juice","Fresh Juices","BEVERAGE","140",548,"2015-10-04"
"BBQ Glazed Chicken","Sandwiches","FOOD","25",504,"2015-10-04"
"Side Salad","Salads","FOOD","118",468,"2015-10-04"
"Masafi Water500ml","Water","BEVERAGE","465",463,"2015-10-04"
"BLACK ANGUS CLUB 6 OZ","Burgers","FOOD","14",448,"2015-10-04"
"SIMPLE SHAWARMA","Main course","FOOD","53",424,"2015-10-04"
"WALK IN LUNCH","WALK IN LUNCH","FOOD","42",420,"2015-10-04"
"FG Juice Bottled","FEEL GOOD","FOOD","52",408,"2015-10-04"
"SERCO BREAKFAST","SERCO BREAKFAST","FOOD","26",390,"2015-10-04"
"FRIED CHICKEN WRAP","Burgers","FOOD","12",384,"2015-10-04"
"Buffet Fruit Salad","Salads","FOOD","74",365,"2015-10-04"
"OZ CAFFE LATTE","Starbucks","FOOD","30",360,"2015-10-04"
"CHICKEN ROCQUET CHEESE S/W","Sandwiches","FOOD","12",360,"2015-10-04"
"Banana Pcs","CS Fresh Fruit","FOOD","351",351,"2015-10-04"
"OZ CAFFE LATTE","Starbucks","FOOD","25",350,"2015-10-04"
"BRIE & TOMATO S/W","Sandwiches","FOOD","10",340,"2015-10-04"
"Double Trouble","Milk Shake","BEVERAGE","14",336,"2015-10-04"
"Fresh Fruit Pcs","Extras","FOOD","110",330,"2015-10-04"
"Portion Protein","Main course","FOOD","34",330,"2015-10-04"
"Yogurt Blueberry","Yoghurt Pots","FOOD","18",324,"2015-10-04"
"Pesto Roasted Chicken","Sandwiches","FOOD","14",322,"2015-10-04"
"OZ FRAPPUCINO CARAMEL","Starbucks","FOOD","16",320,"2015-10-04"
"Homemade Beef Burger","Burgers","FOOD","16",320,"2015-10-04"
"Dessert","Dessert","FOOD","81",316,"2015-10-04"
"FYO SHAWARMA","Main course","FOOD","21",315,"2015-10-04"
"GALLON WATER COUPON","CS Water","BEVERAGE","44",308,"2015-10-04"
"CEASAR CHICKEN WRAP","Wraps","FOOD","9",306,"2015-10-04"
"Salmon Salad","Salads","FOOD","12",300,"2015-10-04"
"Yogurt Muesli Honey","Yoghurt Pots","FOOD","18",288,"2015-10-04"
"California Rolls(6Pcs)","Sushi","FOOD","13",286,"2015-10-04"
"Yasai Itame","Main course","FOOD","11",286,"2015-10-04"
"16 OZ ICED CARAMEL MACCHIATO","Starbucks","FOOD","15",255,"2015-10-04"
"Fruit Salad","Yoghurt Pots","FOOD","21",252,"2015-10-04"
"12 OZ CAFFE AMERICANO","Starbucks","FOOD","25",250,"2015-10-04"
"12 OZ CAPPUCHINO","Starbucks","FOOD","20",240,"2015-10-04"
"16 OZ ICED WHITE CHOCOLATE MOCHA","Starbucks","FOOD","13",234,"2015-10-04"
"LACNOR COCKTAIL 180ML","Fresh Juices","BEVERAGE","56",224,"2015-10-04"
"16 OZ ICED CHOCOLATE","Starbucks","FOOD","13",221,"2015-10-04"
"TICKLED PINK","Smoothies","BEVERAGE","11",220,"2015-10-04"
"Yoghurt","Yogurt","FOOD","55",220,"2015-10-04"
"BRIE & BACON S/W","Sandwiches","FOOD","6",216,"2015-10-04"
"FG SMALL BOWL","FEEL GOOD","FOOD","18",216,"2015-10-04"
"Tandoori Chicken","Pizza","FOOD","6",216,"2015-10-04"
"Filter Coffee","Tea","FOOD","43",210,"2015-10-04"
"Yogurt Mango","Yoghurt Pots","FOOD","21",210,"2015-10-04"
"PRO BAR MEAL SUPERFRUIT SLAM 85G","CS Cereal","FOOD","9",207,"2015-10-04"
"GRILLED CHICKEN & BACON S/W","Sandwiches","FOOD","6",205,"2015-10-04"
"OZ CAFFE AMERICANO","Starbucks","FOOD","17",204,"2015-10-04"
"Digest dark200","Biscuit & Cookies","FOOD","15",202.5,"2015-10-04"
"BEEF MEAL","Main course","FOOD","9",200,"2015-10-04"
"16 OZ CAPPUCHINO","Starbucks","FOOD","14",196,"2015-10-04"
"OZ ICED CAFFE LATTE","Starbucks","FOOD","14",196,"2015-10-04"
"AMERICAN 4 OZ","Burgers","FOOD","7",196,"2015-10-04"
"OZ ICED CAFE AMERICANO","Starbucks","FOOD","16",192,"2015-10-04"
"Yoghurt","Yogurt","FOOD","16",192,"2015-10-04"
"CROISSANT MEDIUM","PASTRIES","FOOD","27",189,"2015-10-04"
"16 OZ CARAMEL MACCHIATO","Starbucks","FOOD","11",187,"2015-10-04"
"PRO BAR FUEL BLUEBERRY CHIA 48GM","CS Cereal","FOOD","16",184,"2015-10-04"
"Cappuccino","Nespresso","FOOD","15",180,"2015-10-04"
"CHICKEN STACK","Burgers","FOOD","6",180,"2015-10-04"
"CROISSANT MINI","Dessert","FOOD","60",180,"2015-10-04"
"Grilled Halloumi(V)","Sandwiches","FOOD","9",180,"2015-10-04"
"FRESH GREEN SALAD","Salads","FOOD","11",176,"2015-10-04"
"Cereal Portion","Breakfast","FOOD","25",175,"2015-10-04"
"NESCAFE RED MUG COFFEE 200GM","CS Coffee","FOOD","5",172.5,"2015-10-04"
"Hash Browns","Breakfast","FOOD","43",172,"2015-10-04"
"Three Cheese Spring Onion","Pre Packed Sandwiches","FOOD","17",170,"2015-10-04"
"12 OZ CARAMEL MACCHIATO","Starbucks","FOOD","11",165,"2015-10-04"
"12OZ WHITE CHOCOLATE MOCHA","Starbucks","FOOD","11",165,"2015-10-04"
"Beef sausage","Breakfast","FOOD","33",165,"2015-10-04"
"Extra Portion Grill","Main course","FOOD","13",156,"2015-10-04"
"Tuna Sweetcorn","Pre Packed Sandwiches","FOOD","10",154,"2015-10-04"
"16 OZ VANILLA LATTE","Starbucks","FOOD","8",152,"2015-10-04"
"CHICKEN WRAP COMBO","Burgers","FOOD","4",152,"2015-10-04"
"Lungo","Nespresso","FOOD","15",150,"2015-10-04"
"BAYARA SALTED PISTACHIOS 300GM","CS Nuts & Seeds","FOOD","6",148.5,"2015-10-04"
"Soup","Extras","FOOD","24",144,"2015-10-04"
"16 OZ FRAPPUCINO WHITE MOCHA","Starbucks","FOOD","7",140,"2015-10-04"
"Chicken Maki(6pcs)","Sushi","FOOD","7",140,"2015-10-04"
"Chicken Sweetcorn","Pre Packed Sandwiches","FOOD","14",140,"2015-10-04"
"JDS BUTTER CRISPS","Biscuit & Cookies","FOOD","9",139.5,"2015-10-04"
"OZ VANILLA LATTE","Starbucks","FOOD","8",136,"2015-10-04"
"AL AIN FRESH MANGO JUICE 330ML","CS Packet Juice","BEVERAGE","17",136,"2015-10-04"
"FALAFEL BURGER","Burgers","FOOD","6",132,"2015-10-04"
"FETA & ROAST VEG PANINI","Sandwiches","FOOD","5",130,"2015-10-04"
